社會,你我熟之的『捕漁歌』，其實是蘭嶼達悟族的民歌？,O (正確),X (錯誤),,,2
社會,小鳳一家人想去洗世界上少有的海底溫泉，她們應該去哪裡？,澎湖,蘭嶼,綠島,,3
社會,世界上最多人吃的『主食』是米？,O (正確),X (錯誤),,,1
社會,人民的保母－警察，他身上配戴的階級胸章位在？,右邊口袋上方,左邊口袋上方,左領口,,1
社會,中國童子軍裡的『稚齡幼童軍』稱為？,雄寶寶,狼寶寶,虎寶寶,,2
社會,大人小孩都愛的布袋戲，戲班禁忌百百種，以下哪一種『不是』它的禁忌？,表演中不能送鮮花,不准說『蛇』字,不可吃蟳,,3
社會,在速限50公里以下路段，發生汽車車禍，應將三角警告牌放在車輛後方幾公尺？,10公尺,20公尺,30公尺,,3
社會,垃圾分類學問多，以下那一種是不能回收的？,家裡壞掉的日光燈管,爸爸喝茶留下的茶葉渣,妹妹用的紙尿褲,,3
社會,歹命孟姜女哭倒長城，她的老公叫做萬梓良？,O (正確),X (錯誤),,,2
社會,以下那一項不能放在鋁箔包類的回收袋中？,紙類餐盒,紙杯,報紙,,3
社會,台灣哪一個景入圍『新世界七大自然奇景』票選活動？,雪山,玉山,奇萊山,,2
社會,根據交通法規，行人若不依規定擅自穿越道路，會被罰多少錢？,300,500,600,,1
英語,Jarry comes forward and shakes me___the hand.中間應填入哪的介係詞？,by,on,with,,1
英語,The sun rises___the east. 空格處應填入？,on,from,in,,3
英語,He ___ a pink sweater yesterday. 中間該填入哪個動詞？,wore,worn,weared,,1
英語,Sheep feed ___grass.中間應填入？,by,in,on,,3
英語,海綿寶寶最愛的寵物是誰？,Snail,Owl,Jellyfish,,1
英語,英文字母歌的最後一句歌詞唱到：＿＿ ＿＿ won’t you sing with me,Last time,This time,Next time,,3
英語,以下哪個選項屬於人體『器官』？,thick,chick,chin,,3
英語,以下哪一個英文字不是指『人』的意思？,spiderman,superman,walkman,,3
英語,被踩到腳時，中文我們會說『哎喲』，英文該怎麼說？,Whee!,Oops!,Ouch!,,3
英語,以下那一個數字最大？,million,trillion,billion,,2
英語,海綿寶寶的英文名字是 Sponge____？,Bob,Bubble,Babe,,1
英語,『a bunch of bananas』是指？,一簍香蕉,一串香蕉,香蕉樹林,,2
英語,媽咪是許多人對媽媽的暱稱，以下何者是美式媽咪的正確拼字？,mammy,mummy,mommy,,3
英語,Ketchup的意思是什麼？,番茄醬,投手,帆船,,1
健體,「捐血一袋，救人一命」請問需年滿幾歲才可進行？,17歲,18歲,19歲,,1
健體,人體中唯一可以隨意識運動，又稱『隨意肌』的是？,平滑肌,骨骼肌,心肌,,2
健體,小鈴過馬路時，聽到交通警察對他們吹『嗶嗶（ㄅㄧˋ）』兩短聲的哨音，這代表？,指揮前進,指揮停止,指揮後退,,3
健體,『水母漂』是頭在水中時，要憋氣憋到受不了，才可以慢慢吐氣，以免浪費體力？,O (正確),X (錯誤),,,2
健體,棒球比賽中的『不死三振』指的是？,擦棒界外算好球三振,高飛犧牲打,主審判好球但捕手漏接,,3
健體,人會不自覺的眨眼睛，最主要的功能是因為？,保持眼球的濕潤,展現放電的丰采,無意識反射動作,,1
健體,世界上第一支『刷毛牙刷』出自哪個國家？,中國,英國,印度,,1
健體,ＣＰＲ練習對象『甦醒安妮』，她的名稱由來是因為發明者？,自己叫安妮,太太叫安妮,女兒叫安妮,,3
健體,羽毛球賽制中，女子單打採『３戰２勝』，每局得分達多少時即勝出？,11分,15分,21分,,3
健體,剛出生的小嬰兒骨頭數量比成人多？,還要少,一樣多,還要多,,3
健體,晚間６：３０開打的中華職棒賽事，依照規定場上會有幾位裁判？,4位,5位,6位,,3
健體,關於麻疹的敘述何者有誤？,大部分發生在5歲以下,得過的人不會得第2次,人是麻疹病毒唯一宿主,,2
健體,貝氏刷牙法，刷毛和牙齒應呈現幾度？,15-30度角,30-45度角,45-60度角,,3
健體,『屁』若忍住不放，氣體將會回流至腸道，然後形成另一種人體反應『打嗝』？,O (正確),X (錯誤),,,2
健體,以下那種疾病不是經由飛沫傳染？,腮腺炎,禽流感,鼠疫,,2
健體,所謂臨時停車，是指車輛引擎未熄火，停止時間未滿幾分鐘？,3分鐘,4分鐘,5分鐘,,1
健體,洗完澎澎後，手會皺皺的是因為『角質層』吸收水分，使得細胞膨脹？,O (正確),X (錯誤),,,1
健體,台灣的棒球運動是由哪一國人引進的？,日本人,美國人,荷蘭人,,1
藝文,廟會中常見的舞龍舞獅，當中的舞獅是哪個朝代傳入中國的？,元朝,唐朝,漢朝,,3
藝文,夏凱爾、龐畢度等大師作品即將在台展出。主題『龐畢度中心』是在哪個國家？,法國,西班牙,義大利,,1
藝文,米老鼠今年８１歲，而在台灣剛剛歡度４０歲生日的是？,老夫子,大嬸婆,史艷文,,3
藝文,排灣族是台灣第三大原住民，他們的『祖靈祭』每幾年會舉行一次？,每年,3年,5年,,3
藝文,寶寶最愛聽的『搖籃曲』，作曲者是音樂之父『巴哈』？,O (正確),X (錯誤),,,2
藝文,曾經引領風潮的『黃梅調』是從哪種戲曲演變而來的？,崑曲,京戲,採茶歌,,3
藝文,呼拉圈中的『呼拉』是源自夏威夷語，它的意思是？,圓圈圈,歡呼語,舞蹈,,3
藝文,『剪刀石頭布』最早源自於哪一個國家？,義大利,日本,中國,,3
藝文,中國古典文學『水滸傳』與『金瓶梅』都有『武松』這號人物？,O (正確),X (錯誤),,,1
藝文,表現主義大師－孟克以畫作『吶喊』聞名世界，請問他是哪一國人？,瑞典,丹麥,挪威,,3
藝文,中國的『紙鳶』起源自哪個時期？,戰國時期,東漢時期,唐朝時期,,2
藝文,相聲表演常見的扇子，原本不是用來搧風取涼，而是遮陽用的？,O (正確),X (錯誤),,,1
藝文,台灣第一部音樂辭典『台灣音樂百科辭書』流行音樂篇未出現哪一位歌手？,五月天,周杰倫,張惠妹,,3
常識,近視眼要配戴哪一種鏡片的眼鏡？,三稜鏡,凹透鏡,平面鏡,凸透鏡,2
常識,勾踐「臥薪嘗膽」是為了報復何國？,蜀國,吳國,越國,趙國,2
常識,美國的國花是什麼花？,玫瑰,康乃馨,百合,紫羅蘭,1
常識,中華郵政的郵差是什麼顏色？,黃,綠,白,藍,2
常識,寫春聯是什麼節日的傳統習俗？,清明節,新年,中秋節,端午節,2
常識,下列何者為目前陸地上最大哺乳動物？,河馬,大象,雪豹,犀牛,2
常識,下列何者是小說《西遊記》之中唐僧的徒弟？,孫燕姿,孫悟空,孫中山,孫芸芸,2
常識,「欲窮千里目」的下一句是？,隔水問樵夫,更上一層樓,坐看雲起時,勇者鬥惡龍,2
常識,下列何者不是偵探？,金田一,苗栗小五郎,福爾摩斯,柯南,2
常識,當憲法語意模糊不清時，可申請由誰來解釋之？,大法官,檢察官,法官,警察,1
常識,以下寶寶何者以「企業吉祥物」的身分出道？,大同寶寶,花園寶寶,天線寶寶,海綿寶寶,1
常識,「米其林指南」是什麼？,美食旅遊指南,食譜索引,減肥指南,輪胎圖鑑,1
常識,請問鹿茸是指鹿的哪個部位？,鹿腳指甲,鹿角,鹿尾巴上的毛,鹿耳朵裡的毛,2
常識,練習CPR時所使用的人型模型名字為何？,奧薇拉,瓊安,潔西卡,安妮,4
常識,燒臘店裡的「三寶飯」不會有哪項主菜？,叉燒,燒鴨,嫩羊,油雞,3
常識,不小心搖晃到汽水罐時，哪項行為可以避免汽水噴發？,在汽水罐壁輕敲幾下,用冷水沖汽水罐,用力敲汽水罐上方,倒置汽水罐,1
常識,若上課遲到5分鐘罰25元，小明遲到15分鐘要罰多少錢？,75,你不懂小明,50,125,1
常識,何者是車內「破窗器」的正確使用方法？,敲擊車窗角落,敲擊車窗上半部,敲擊車窗中心,敲擊車窗下半部,1
常識,哪個美女並沒有在正史紀載，是虛構的？,西施,楊貴妃,王昭君,貂蟬,4
常識,「貓舌頭」是只吃東西的時候怕？,怕水,怕燙,怕填,怕冰,2
常識,下列何者是昆蟲？,蜘蛛,毛毛蟲,蠍子,蜈蚣,2
常識,義大利在地圖上看起來像？,秋海棠,鑽石,長靴,番薯,3
常識,網路用語「洋蔥文」是指怎麼樣的文章？,挑釁意味濃厚的文章,日記文,紀錄美食的文章,賺人熱淚的文章,4
常識,藥品分為三類，下列何者不是其中之一？,秘藥,成藥,處方藥,指示藥,1
常識,在寒冷的冬天，什麼穿法能有效保暖？,馬鈴薯穿法,包子式穿法,洋蔥式穿法,饅頭式穿法,3
常識,「識」字有幾筆畫？,21,15,17,19,4
常識,三杯雞中的「三杯」不含哪一調味料？,米酒,烏醋,醬油,麻油,2
常識,「過刀山」是一種？,植物,刀,食物,蛇,4
常識,何者並非一個品種的蛇？,響尾蛇,魯蛇,百步蛇,眼鏡蛇,2
常識,氣炸鍋的烹調原理？,悶,蒸,煮,烤,4
常識,熱帶雨林又叫做？,地球之肝,地球心臟,地球之眼,地球之肺,4
常識,世界最狹長的國家是？,智利,紐西蘭,阿根廷,義大利,1
常識,中國的「三節獎金」的「三節」不包括哪個節日？,中秋節,端午節,春節,清明節,4
常識,魚翅是採自於何種動物？,鯊魚,鯨魚,白帶魚,鮪魚,1
常識,小說《哈利波特》中霍格華茲哪個不是四個學院之一？,雷文克勞,鄧不利多,史萊哲林,格來分多,2
常識,以下哪些行為不能延長手機電池壽命？,刪除RAM,降低螢幕亮度,自拍,關掉執行中的App,3
常識,在比賽中超越第二名會變成？,最後一名,第一名,第三名,第二名,4
常識,現行新台幣中哪個不是銅幣？,壹圓,五十元,拾元,都是銅幣,4
常識,筆芯是哪種材質構成？,硫,磷,碳,鉛,3
常識,「既生瑜，何生亮」中的亮是指誰？,曹操,豬哥亮,孔明,劉備,3
常識,下列何者是光武帝劉秀的名言？,吾為始皇帝,朕知道了,有志者事竟成,我管定了,3
常識,成語「聞雞起舞」典故中祖逖用的是何種兵器？,刀,棍,槍,劍,4
常識,人類生存最基本的三個要素不包括？,陽光,水,Wifi,空氣,3
常識,英文字母大小寫配對哪個錯誤？,R/r,Q/p,E/e,M/m,2
常識,下列親戚關係何者應稱呼為「嬸嬸」？,伯父的妻子,叔父的妻子,父親的妹妹,母親的妹妹,2
常識,結婚戒指普遍戴在哪隻指頭上？,無名指,中指,拇指,食指,1
常識,哪三種植物被譽為「歲寒三友」？,櫻梅蘭,松竹梅,桑柳竹,竹梅桂,2
category,question,option1,option2,option3,option4,correct
常識,哆啦A夢最喜愛的食物是？,鯛魚燒,銅鑼燒,豬血糕,老鼠,2
常識,「鱟」在生物學上的分類？,節肢動物門,腔腸動物門,軟體動物門,棘皮動物門,1
常識,「大蘋果」是哪一個城市的名稱？,巴黎,紐約,東京,香港,2
常識,白煮蛋正確的煮法是？,放在枕頭下孵七七四十九天,先水滾後放蛋,先放蛋後滾水,詢問劉昂星,2
常識,鄭經治台時改國號為什麼國？,鄭經,西寧,東寧,高砂,3
常識,(猜一個字)目加兩點莫作貝字猜？,員,昔,賀,苜,3
常識,日本名著的明治神宮位於？,山形,東京,大阪,神戶,2
常識,地球目前總共有幾個自然衛星？,數十萬個,難以計算,一個,數百萬個,3
常識,水稻的子葉是屬於？,單子葉,雙子葉,多子葉,三子葉,1
常識,具有公信力的調解委員會設置於何者？,縣市議會,警察局,地方法院,鄉鎮市區公所,4
常識,歌劇「費加洛婚禮」為何者作品？,莫札特,貝多芬,巴哈,柴可夫斯基,1
常識,水溫降到攝氏幾度以下會結冰？,20,30,0,10,3
常識,電影少林足球中大師兄的武功？,鬼影擒拿手,無堅不摧鐵頭功,金鐘罩鐵布衫,風火地堂腿,2
常識,被稱為「第七藝術」的是？,馬戲團,話劇,電影,電視,3
常識,「點秋江白鷺沙鷗，傲殺人間萬戶侯，不識字煙波釣叟。」出自何者？,白樸,馬致遠,關漢卿,鄭光祖,1
常識,著有道德經為道家始祖的是？,李鼻,李斯,李威,李耳,4
常識,十三行文化遺址在台北縣哪裡發現？,八里,陽明山,淡水,五股,1
常識,塔羅牌是首先出現在哪一個國家？,西班牙,法國,奧匈帝國,義大利,4
常識,高氣壓在北半球的流動方向？,向南,不一定,順時針,逆時針,3
常識,電影「失落的帝國」是以哪一個古文明背景拍攝的？,亞特蘭提斯,波斯,瑪雅,埃及,1
常識,少量白雲母最可能之火成岩種類為何？,花崗岩,輝長岩,橄欖岩,玄武岩,1
常識,根據選罷法規定，政黨得票率要達到百分之多少才能參予不分區當選名額分配？,百分之五,百分之二十,百分之十,百分之七,1
常識,臭氧層的臭氧減少的主因是下列何種化合物？,二氧化氮,氯氧化合物,氟氯碳化物,二氧化碳,3
常識,「入木三分」這句成語是來自於誰的故事？,張旭,王羲之,郭璞,陸游,2
常識,在哈利波特小說中不會魔法的人稱為？,小黃瓜,南瓜,麻瓜,絲瓜,3
常識,鐵人三項比賽中自行車項目的距離為幾公里？,30,20,10,40,4
常識,「泊秦准」「商女不知亡國恨，隔江猶唱後庭花」出自何者？,李白,杜牧,杜甫,王維,2
常識,希臘神話中一年有幾季？,四,三,二,一,2
常識,卡通櫻桃小丸子中總是噗個不停的是？,山田,永澤,花輪,豬太郎,4
常識,豬籠草和毛氈苔主要藉由捕食昆蟲以獲得該地區缺乏的何種營養素？,鐵,氮,鉀,碳,2
常識,二次大戰期間的諾曼第登陸發生在哪一個國家？,法國,美國,西班牙,荷蘭,1
常識,請問下列何者是台中的名產？,阿給,太陽餅,臭豆腐,鴨賞,2
常識,科學小飛俠的隊長是？,阿龍,鐵雄,珍珍,大明,2
常識,畫家馬諦斯為何國人？,法國,英國,德國,丹麥,1
常識,雷鳥主要住在哪裡？,平地,盆地,高山,海邊,3
常識,下列何者不是印象派的畫家？,畢沙羅,米開朗基羅,雷諾瓦,莫內,2
常識,請問下列何者是宜蘭的名產？,太陽餅,阿給,鴨賞,臭豆腐,3
常識,電影「工夫」中周星馳花了多少錢買了武功秘笈？,2元,5元,20元,10元,4
常識,行人過馬路的小綠人跑步號誌是哪裡發明的？,台灣,英國,新加坡,法國,1
常識,胃酸的主要成分是？,鹽酸,硫酸,檸檬酸,胺基酸,1
常識,蒙古人統一中國時世居西域一帶最有可能是什麼階級的人？,蒙古人,色目人,南人,漢人,2
常識,第一位在日本職棒得到百戰百勝救援的台灣投手？,郭泰源,莊勝雄,郭源治,陳義信,3
常識,綠島的溫泉是屬於哪種溫泉？,平原,海底,洞穴,高山,2
常識,世界最大的貓科動物？,孟加拉虎,西伯利亞虎,非洲獅,美洲豹,2
常識,日劇大和拜金女的女主角職業？,空姐,銀行員,護士,老師,1
常識,下列何者不是日本室町時代的繪畫作品？,三條殿夜討卷,竹齋讀書圖,四季山水圖卷,瓢鯰圖,1
常識,三國演義中的空城計，空城指的是哪一個縣？,東城,西城,桐城,當陽,2
常識,何者能幫助血液凝結？,維他命D,維他命C,維他命A,維他命K,4
常識,人體內由肝臟分泌的膽汁顏色是？,藍黑色,黃綠色,紅色,紅褐色,2
常識,請問四角柱有幾個面？,6,3,5,4,1
常識,清朝時的地名「蛤仔難」位於今日台灣何縣市？,台南,桃園,宜蘭,台東,3
常識,華格納的歌劇「尼貝龍根的指環」中被奧丁放逐的女武神為？,史維特萊德,瓦爾特洛德,葛琳潔德,布倫希爾德,4
常識,下列著名的夜市何者非位於台北市內？,樂華夜市,士林夜市,饒河夜市,寧夏夜市,1
常識,蛇常常吐舌頭是為了？,散熱,找尋獵物,幫助移動,幫助呼吸,2
常識,下列何者不是中國古代四大發明？,指南針,火藥,占星,印刷,3
常識,職訓中心主要是為了協助何者就業？,欠缺工作能力者,缺少工作意願者,沒有工作需要者,缺乏求職行動者,1
常識,日本的警察階級哪一個比較大？,警視正,警視,警視長,警部,3
常識,目前已知地球海洋最大的深度為幾公尺？,5500m,22000m,11000m,8800m,3
常識,西洋人所稱呼的淑女蟲是指？,蠶,蟬,瓢蟲,蜻蜓,3
常識,電影「工夫」中周星馳去監獄救誰出來？,火雲邪神,包祖公,包祖婆,啞巴女,1
常識,清廷經營台灣下列哪一個行政區最晚設立？,彰化縣,諸羅縣,噶瑪蘭廳,淡水廳,3
常識,請問三角錐有幾個面？,3,6,5,4,4
常識,西漢哪位名將有一位皇后姐姐？,霍去病,衛青,李廣,李陵,2
常識,欲查詢天氣時可電話直播幾號查詢？,166,109,106,149,1
常識,請問梅雨的形成主要原因？,溫度升高,季節交替,季風交替,溫差過大,2
常識,下列哪一種岩石被認定具有較佳的孔隙率和較好的滲透率故被認定為它能形成重要的儲油層？,砂岩,大理岩,花崗岩,頁岩,1
常識,近年來被刪除在太陽系外的行星是？,海王星,土星,冥王星,天王星,3
常識,吹泡泡時候要？,用力吹,向上吹,輕輕吹,全部皆是,3
常識,混合氣體之壓力為各氣體分壓之總合稱為？,亨利定律,道爾吞定律,波以耳定律,理想氣體定律,2
常識,請問颱風登陸或出現最大風速的時候總是在哪個時間？,不一定,晚上,凌晨,下午,1
常識,請問尋秦記的作者是？,黃易,劉定堅,古龍,金庸,1
常識,Mickey Mouse的生日是幾號？,8月18日,11月18日,9月18日,10月18日,2
常識,中華職棒史上首位百全壘打、百盜壘的球員？,林易增,張泰山,林仲秋,陳致遠,2
常識,「但願人長久，千里共嬋娟。」出自蘇軾的何首作品？,水龍吟,念奴嬌,賀新郎,水調歌頭,4
常識,哪隻不是暴力昆蟲？,行軍蟻,黑寡婦,殺人蜂,日本大黃蜂,2
常識,「遊子吟」「慈母手中線，遊子身上衣」出自何者？,李白,韋應物,孟浩然,孟郊,4
常識,雄蟬和雌蟬交配時身體呈現什麼形狀？,一字型,V字型,S字型,I字型,2
常識,何者屬於台灣原住民的節慶活動？,放水燈,豐年祭,載香包,跳童乩,2
常識,地球與月球的距離約可排下幾個地球？,30,40,10,20,1
常識,有「水果之王」美名的，是哪一種水果？,柳丁,蘋果,榴槤,西瓜,3
常識,體積固定時，加壓時溫度會上升，減壓則相反，稱為？,亨利定律,理想氣體定律,道爾吞定律,查爾斯定律,2
常識,佛家說的「四大皆空」，四大指的是地、水、火以及？,風,金,銀,木,1
常識,請問三角柱有幾個面？,5,3,4,6,1
常識,地球與太陽之間的距離有多少公里？,一億,五千萬,二億五千萬,一億五千萬,4
常識,奧運射箭項目的箭靶有幾個得分區？,8,5,10,6,3
常識,一個圓形對折三次請問分成幾等份？,4,8,2,6,2
常識,「山中相送罷，日暮掩柴扉，春草年年綠，王孫歸不歸」出自何者？,李商隱,杜甫,王維,李白,3
常識,色彩三要素(三屬性)是指？,色相 明度 採紅,色相 明度 彩度,色相 明度 印度,色相 明度 亮度,2
常識,蘇格拉底的父親的職業？,農夫,雕刻家,軍人,老師,2
常識,雌性蠶蛾一個晚上大概可以產多少個卵？,400,600,500,300,3
常識,由1+2+3......+10請問總數是多少？,55,52,54,50,1
常識,水稻的葉子分成平坦部分跟鞘狀不分部分請問平坦部分的功用是？,光合作用,儲存養分,美觀大方,傳宗接代,1
常識,劉德華的英文名？,Andy,Jacky,Leon,Michael,1
常識,電影「功夫」中周星馳最後開了什麼店？,雜貨店,冰果店,冰店,糖果店,4
常識,司馬遷因替誰求情而被漢武帝處以宮刑？,李靖,李陵,李廣,李廣利,2
常識,明朝著名的傳教士利瑪竇來自？,英國,法國,義大利,德國,3
常識,下列何者是燕子築巢時會用到的材料？,全部皆是,枯草,唾液,溼泥巴,1
常識,「飛雪連天射白鹿 笑書神俠倚碧鴛」為何者作品之首字集成？,金庸,梁羽生,古龍,倪匡,1
常識,電影七夜怪談中7天之後會死亡的原因？,去海邊玩,對鏡子梳頭髮,在晚上洗澡,看了怪路影帶,4
常識,我們俗稱的安息香油是？,乙烯,甲烷,丙酮,苯,4
常識,已知果蠅體細胞內有四對染色體則其卵子中的染色體數？,四對染色體,兩對染色體,四條不成對染色體,兩條不成對染色體,3
常識,國際間決定原油供應量、影響油價波動的主要組織是？,APEC,OPEC,WTO,OECD,2
常識,「國破山河在，城春草木深」是誰的詩句？,李白,杜甫,王昌齡,王維,2
常識,「臥薪嘗膽」這句成語出自於誰的故事？,句踐,文種,伍子胥,范蠡,1
常識,提拉米蘇是哪一個國家的甜點？,荷蘭,法國,義大利,英國,3
常識,貝多芬在創作《第三交響曲》時本來是為了獻給誰？,俾斯麥,莫札特,拿破崙,海頓,3
常識,伯斯卡為哪一國的數學家及科學家？,法國,英國,德國,美國,1
常識,南美巨水鼠身長可達幾公分？,200,60,80,140,4
常識,追隨桃太郎的動物當中不包含哪一種動物？,貓,猴子,雞,狗,1
常識,世界上最大的海洋？,太平洋,北極海,印度洋,大西洋,1
常識,飛機的發明和下列哪種動物的外形構造有關？,魚,鳥,響尾蛇,青蛙,2
常識,哪項非螞蟥在醫療上的用途？,有效防止血凝固,刺激被接駁器官的血液循環,避免大量出血,減低因血液積聚所引起的血壓,3
常識,遠古時代傳說黃帝於何地打敗蚩尤？,官渡,涿鹿,沙鹿,涿牛,2
常識,西元1600到1750年間西洋音樂史上稱為什麼？,浪漫樂派時代,流行音樂時代,文藝復興時代,巴羅克時代,4
常識,唐朝詩人善有長恨歌描寫楊貴妃生平的是？,張繼,白居易,韓愈,杜光庭,2
常識,為了救愛妾而引清兵入關的明末將領稱？,索尼,鰲拜,吳二桂,吳三桂,4
常識,清朝時何者訂「全台紳民公約」6條強烈排外嚴禁鴉片？,吳全,徐宗幹,吳沙,林國華,2
常識,目前為止被認為世界最準確的曆法是？,巴比倫曆,中國農曆,格里高里曆,馬雅曆,4
常識,創立坐標幾何的人是誰？,巴比,丟番圖,笛卡兒,畢達哥拉斯,3
常識,馬鈴薯的根是由哪裡長出來？,種薯,芽,芽眼,馬鈴薯,3
常識,柔道比賽何者得分最高？,Yuko,Ippon,Koka,Waza-ari,2
常識,子曰：君子不重則不「」..？,義,威,安,忠,2
常識,被刀子割傷數日後傷口因感染而紅腫發炎此時體內何種細胞會顯著增加？,神經細胞,白血球,肌肉細胞,紅血球,2
常識,下列何者不是標準化石應具備的特性？,演化速度快,化石的個體數多,分布範圍廣,生存期限長,4
常識,綠島的溫泉屬於哪種溫泉？,平原溫泉,洞穴溫泉,海底溫泉,高山溫泉,3
常識,世界第一部用立體音響的動畫片？,木偶奇遇記,小美人魚,幻想曲,小飛象,3
